Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Australia,Expense (current LCU),GC.XPN.TOTL.CN,1.59E+11,1.85E+11,1.99E+11,2.06E+11,2.21E+11,2.36E+11,2.49E+11,2.66E+11,2.87E+11,3.34E+11,3.48E+11,3.69E+11,3.92E+11,3.98E+11,4.20E+11,4.35E+11,4.47E+11,4.68E+11,4.83E+11,5.09E+11,6.00E+11,3.48E+11,3.69E+11,3.92E+11
Bangladesh,Bangladesh,Expense (current LCU),GC.XPN.TOTL.CN,98822450000,1.03E+11,1.04E+11,1.07E+11,1.18E+11,1.17E+11,1.21E+11,1.25E+11,1.31E+11,1.38E+11,1.37E+11,1.41E+11,1.47E+11,1.51E+11,1.58E+11,1.59E+11,1.61E+11,1.64E+11,1.68E+11,1.73E+11,1.93E+11,1.37E+11,1.41E+11,1.47E+11
  Canada,Canada,Expense (current LCU),GC.XPN.TOTL.CN,1.09E+11,1.14E+11,1.13E+11,1.20E+11,1.21E+11,1.35E+11,1.32E+11,1.38E+11,1.48E+11,1.54E+11,1.58E+11,1.69E+11,1.77E+11,1.79E+11,1.82E+11,1.73E+11,1.76E+11,1.78E+11,1.83E+11,1.89E+11,2.03E+11,1.58E+11,1.69E+11,1.77E+11
 Denmark,Denmark,Expense (current LCU),GC.XPN.TOTL.CN,828600000,2.29E+11,2.48E+11,2.73E+11,2.91E+11,3.48E+11,4.02E+11,4.76E+11,5.93E+11,6.96E+11,7.39E+11,9.02E+11,1.02E+12,1.14E+12,1.28E+12,1.37E+12,1.63E+12,1.78E+12,1.98E+12,2.44E+12,2.58E+12,7.39E+11,9.02E+11,1.02E+12
"  Egypt, Arab Rep.","Egypt, Arab Rep.",Expense (current LCU),GC.XPN.TOTL.CN,828600000,867000000,922700000,999000000,1021297000,1117166000,1185862000,1260136000,1344984000,1421765000,1554082284,1667595690,1753318281,1702222984,1759590327,1902181502,2125147496,2456838826,2228551000,2452787000,2677984822,1554082284,1667595690,1753318281
 France, France,Expense (current LCU),GC.XPN.TOTL.CN,231452000,461462000,645051000,1031596011,1463253800,1968329400,2569319698,3367533810,4406444533,4514785700,5149342317,7819170000,15126500000,18950100000,22087100390,25274096426,27931198410,31007069922,34449851839,38517681615,44808710016,5149342317,7819170000,15126500000
 Greece, Greece,Expense (current LCU),GC.XPN.TOTL.CN,297371000,338080000,352235000,424033000,537994000,548723000,620744000,612281000,633841000,669019000,689824000,729103000,702572026.1,767816086.2,831322724.3,904290259.2,952797423.7,1012632212,34449851839,38517681615,44808710016,689824000,729103000,702572026.1
 Hong Kong, Hong Kong,Expense (current LCU),GC.XPN.TOTL.CN,297371000,338080000,352235000,1732120000,1777000000,2146850287,2268689957,2734966561,2956990389,3035555520,3112335695,3006152565,3274721140,3322374972,3142013878,3327973412,3267460950,34449851839,38517681615,44808710016,1012632212,3112335695,3006152565,3274721140
 India, India,Expense (current LCU),GC.XPN.TOTL.CN,3786500000,4537400000,4827088000,5373245000,5409249000,7134193000,7849160000,9092154000,12352540000,14257030000,15734872000,18569342000,19915374000,21225505000,21715387355,25138919000,27902997000,29734935027,34252474158,32038746000,43844468348,15734872000,18569342000,19915374000
  Japan,  Japan,Expense (current LCU),GC.XPN.TOTL.CN,2.08E+11,2.14E+11,2.14E+11,2.26E+11,2.31E+11,2.53E+11,2.55E+11,2.68E+11,2.83E+11,2.96E+11,3.18E+11,3.17E+11,3.20E+11,3.25E+11,3.27E+11,3.40E+11,3.54E+11,3.77E+11,3.92E+11,4.19E+11,6.41E+11,3.18E+11,3.17E+11,3.20E+11
 Korea, Korea,Expense (current LCU),GC.XPN.TOTL.CN,87312861032,84734244010,93918040689,89434830090,91262517476,92826791460,93533105869,96340778895,97320862449,1.02E+11,1.04E+11,1.06E+11,1.06E+11,1.10E+11,1.11E+11,1.14E+11,1.17E+11,1.18E+11,1.19E+11,1.21E+11,1.40E+11,1.04E+11,1.06E+11,1.06E+11
  Malaysia,  Malaysia,Expense (current LCU),GC.XPN.TOTL.CN,8.50E+12,9.11E+12,9.73E+12,1.02E+13,1.10E+13,1.18E+13,1.30E+13,1.45E+13,1.73E+13,2.05E+13,2.24E+13,2.37E+13,2.59E+13,2.77E+13,3.06E+13,3.43E+13,3.73E+13,4.01E+13,4.28E+13,4.53E+13,5.27E+13,2.24E+13,2.37E+13,2.59E+13
 New Zealand, New Zealand,Expense (current LCU),GC.XPN.TOTL.CN,8.50E+12,1.02E+12,1.14E+12,1.27E+12,1.25E+12,1.33E+12,1.29E+12,1.47E+12,1.67E+12,1.67E+12,1.84E+12,1.66E+12,2.10E+12,2.10E+12,2.22E+12,3.64E+12,3.84E+12,4.56E+12,4.79E+12,4.82E+12,5.82E+12,1.84E+12,1.66E+12,2.10E+12
Portugal,Portugal,Expense (current LCU),GC.XPN.TOTL.CN,8.50E+12,4.41E+11,5.64E+11,3.97E+11,7.04E+11,7.52E+11,7.49E+11,7.77E+11,7.95E+11,6.35E+11,7.00E+11,7.51E+11,1.05E+12,9.65E+11,1.13E+12,1.10E+12,1.07E+12,1.10E+12,1.40E+12,1.36E+12,1.22E+12,7.00E+11,7.51E+11,1.05E+12
 Russia , Russia ,Expense (current LCU),GC.XPN.TOTL.CN,1.02E+12,1.20E+12,1.47E+12,1.63E+12,1.84E+12,2.17E+12,2.51E+12,2.94E+12,3.51E+12,4.36E+12,5.07E+12,5.49E+12,6.16E+12,6.75E+12,7.49E+12,8.62E+12,8.70E+12,8.72E+12,1.04E+13,1.12E+13,1.18E+13,5.07E+12,5.49E+12,6.16E+12
